variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes	sensi_1	sensi_0	speci_1	speci_0	mutation_in_interest	mutation_not_in_interest	mutation_in_compared	mutation_not_in_compared
group_954	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_955	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_957	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_958	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_959	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_960	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
rdgC_1	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_963	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_964	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_965	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_967	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_968	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_1115	0.25	0.035	0.161	0.534	0.37799999999999995	0.129		0.3333333333333333	0.6666666666666666	0.16666666666666666	0.8333333333333334	20	40	10	50
group_966	0.242	0.136	0.653	-0.146	0.32299999999999995	0.0415		0.3	0.7	0.18333333333333332	0.8166666666666667	18	42	11	49
group_1348	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_1349	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_1350	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_1351	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_1352	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_1353	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_1354	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_1355	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
